Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,127,20,"M:System.Drawing.Graphics.DrawLine(System.Drawing.Pen,System.Single,System.Single,System.Single,System.Single)",,,,,"e.Graphics.DrawLine(Pens.Black,x,this.Height * lowPercent,x,this.Height * highPercent);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,112,16,P:System.Windows.Forms.PaintEventArgs.ClipRectangle,,,,,"for(float x = e.ClipRectangle.X; x < e.ClipRectangle.Right; x+=1)                  {                      short low = 0;                      short high = 0;                      bytesRead = waveStream.Read(waveData, 0, samplesPerPixel * bytesPerSample);                      if(bytesRead == 0)                          break;                      for(int n = 0; n < bytesRead; n+=2)                      {                          short sample = BitConverter.ToInt16(waveData, n);                          if(sample < low) low = sample;                          if(sample > high) high = sample;                      }                      float lowPercent = ((((float) low) - short.MinValue) / ushort.MaxValue);                      float highPercent = ((((float) high) - short.MinValue) / ushort.MaxValue);                      e.Graphics.DrawLine(Pens.Black,x,this.Height * lowPercent,x,this.Height * highPercent);					                  }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,112,16,P:System.Windows.Forms.PaintEventArgs.ClipRectangle,,,,,"for(float x = e.ClipRectangle.X; x < e.ClipRectangle.Right; x+=1)                  {                      short low = 0;                      short high = 0;                      bytesRead = waveStream.Read(waveData, 0, samplesPerPixel * bytesPerSample);                      if(bytesRead == 0)                          break;                      for(int n = 0; n < bytesRead; n+=2)                      {                          short sample = BitConverter.ToInt16(waveData, n);                          if(sample < low) low = sample;                          if(sample > high) high = sample;                      }                      float lowPercent = ((((float) low) - short.MinValue) / ushort.MaxValue);                      float highPercent = ((((float) high) - short.MinValue) / ushort.MaxValue);                      e.Graphics.DrawLine(Pens.Black,x,this.Height * lowPercent,x,this.Height * highPercent);					                  }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,110,16,P:System.Windows.Forms.PaintEventArgs.ClipRectangle,,,,,waveStream.Position = startPosition + (e.ClipRectangle.Left * bytesPerSample * samplesPerPixel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,97,12,M:System.Windows.Forms.ContainerControl.Dispose(System.Boolean),,,,,base.Dispose( disposing );
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,66,16,M:System.Windows.Forms.Control.Invalidate,,,,,this.Invalidate();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,50,16,M:System.Windows.Forms.Control.Invalidate,,,,,this.Invalidate();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,30,12,P:System.Windows.Forms.Control.DoubleBuffered,,,,,this.DoubleBuffered = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,26,8,M:System.Windows.Forms.UserControl.#ctor,,,,,public WaveViewer()          {              // This call is required by the Windows.Forms Form Designer.              InitializeComponent();              this.DoubleBuffered = true;			            }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,30,12,P:System.Windows.Forms.Control.DoubleBuffered,,,,,this.DoubleBuffered = true;
